,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
51144,390588.0,0,742.0,981977.0,1,1,3,21640.05,17.9,15.0,0.0,491074.0,905432.0,0.0,0.0
21473,163636.0,1,678.0,578075.0,4,3,3,17583.17,13.7,9.0,2.0,93081.0,211728.0,1.0,0.0
18069,223674.0,1,742.0,649059.0,3,3,4,5949.66,13.6,4.0,0.0,25061.0,58124.0,0.0,0.0
15060,111012.0,1,678.0,736231.0,3,3,7,17240.22,6.2,9.0,0.0,118142.0,233046.0,0.0,0.0
31535,175736.0,1,7270.0,574503.0,1,3,8,39523.99,28.0,12.0,0.0,369911.0,468094.0,0.0,0.0
63460,64350.0,1,746.0,422370.0,2,1,3,5019.23,28.8,15.0,0.0,38988.0,792154.0,0.0,0.0
51690,266596.0,1,746.0,1534896.0,1,1,3,1688.34,37.5,6.0,1.0,51623.0,317988.0,1.0,0.0
11991,788414.0,1,7340.0,752267.0,1,3,0,38421.8,30.9,14.0,0.0,719815.0,1673650.0,0.0,0.0
2689,655380.0,0,7090.0,1746290.0,3,3,3,27306.8,15.0,18.0,0.0,369607.0,821436.0,0.0,0.0
64071,262460.0,1,748.0,1737854.0,1,1,5,14916.71,21.5,9.0,0.0,446310.0,908226.0,0.0,0.0
